Rank,Name,Total_Net_Worth,Total_Net_Worth_Bil,LastChange,LastChange_Bil,YTDChange,YTDChange_Bil,Country,Industry
1,Elon Musk ,$311B,311,+$9.32B,9.32,+$141B,141,UnitedStates,Technology
2,Jeff Bezos ,$195B,195,-$3.79B,-3.79,+$5.06B,5.06,UnitedStates,Technology
3,Bernard Arnault ,$167B,167,-$544M,-0.544,+$52.7B,52.7,France,Consumer
4,Bill Gates ,$136B,136,+$906M,0.906,+$4.40B,4.4,UnitedStates,Technology
5,Larry Page ,$131B,131,+$1.71B,1.71,+$48.7B,48.7,UnitedStates,Technology
6,Sergey Brin ,$126B,126,+$1.64B,1.64,+$46.7B,46.7,UnitedStates,Technology
7,Mark Zuckerberg ,$121B,121,+$2.40B,2.4,+$17.3B,17.3,UnitedStates,Technology
8,Steve Ballmer ,$118B,118,+$2.42B,2.42,+$37.6B,37.6,UnitedStates,Technology
9,Larry Ellison ,$115B,115,+$331M,0.331,+$35.4B,35.4,UnitedStates,Technology
10,Warren Buffett ,$105B,105,-$800M,-0.8,+$17.0B,17,UnitedStates,Diversified
11,Mukesh Ambani ,$95.8B,95.8,-$2.56B,-2.56,+$19.1B,19.1,India,Energy
12,Francoise Bettencourt Meyers,$90.4B,90.4,-$597M,-0.597,+$14.6B,14.6,France,Consumer
13,Gautam Adani ,$77.1B,77.1,+$2.52B,2.52,+$43.3B,43.3,India,Industrial
14,Amancio Ortega ,$77.0B,77,-$532M,-0.532,+$10.5B,10.5,Spain,Retail
15,Jim Walton ,$66.5B,66.5,+$315M,0.315,+$4.02B,4.02,UnitedStates,Retail
16,Rob Walton ,$66.0B,66,+$291M,0.291,+$3.41B,3.41,UnitedStates,Retail
17,Zhong Shanshan ,$65.2B,65.2,-$68.5M,-0.0685,-$13.0B,-13,China,Diversified
18,Alice Walton ,$64.6B,64.6,+$325M,0.325,+$2.26B,2.26,UnitedStates,Retail
19,Carlos Slim ,$63.4B,63.4,-$280M,-0.28,+$7.13B,7.13,Mexico,Diversified
20,Phil Knight&family ,$62.6B,62.6,+$927M,0.927,+$8.75B,8.75,UnitedStates,Consumer
